tyear,Agriculture,CropProduction,Livestock,Forestry,Fishing,Industry,Petroleum,SolidMinerals,Manufacturing,Construction,Trade,Services,Transportation,ICT,Utilities,Hospitality,Finance_Insurance,RealEstate,Science_Tech,PublicAdministration,Education,SocialServices,Entertainment,OtherServices
1981,2364373.15,1854764.44,341411.5,77897.99,90299.23,6603250.12,4977416.7,67136.73,1558696.7,851561.61,1770381.46,3668438,264512.65,263409.45,18393.65,53784.58,282170.74,1063959.81,421381.98,807075.54,242555.85,110697.65,4561.07,132700.2
1982,2425960.89,1897078.85,361115.7,73910.25,93856.08,6272828.03,4453093.63,54840.5,1764893.89,679200.42,1846954.23,3760134.76,211891.35,281235.38,17174.34,50804.26,372267.76,1074049.33,423670.54,825921.69,248219.81,113282.57,4597.76,133767.58
1983,2409081.92,1842704.31,393131.01,75282.78,97963.82,5264881.39,4052977.68,44014.84,1167888.87,598782.27,1801783.24,3775196.35,178322.31,278786.5,22263.13,42696.03,336896.5,1086703.98,481170.73,844767.84,253883.77,115867.49,4324.58,125819.69
1984,2303505.42,1759115.15,399685.38,76694.14,68010.74,5621181.44,4559196.21,43078.37,1018906.87,488143.29,1662300.57,3704124.78,170279.79,253756.74,19310.83,35968.39,267287.62,1086931.99,518359.9,863613.99,259547.73,118452.41,3543.43,103092.67
1985,2731062.47,2180907.71,428102.85,78082.45,43969.46,6379599.38,4918272.5,44539.09,1416787.79,336270.79,1727979.4,3779001.01,203571.16,202382.95,15498.05,33192.6,254993.44,1091378.22,602464.66,882460.14,265211.69,121037.33,3395.55,98790.3
1986,2986835.38,2427100.66,421627.97,86594.92,51511.83,6234407.31,4825497.52,35247.69,1373662.1,335758.58,1788770.07,3892215.95,180153.29,202891.59,13521.65,33674.71,303107.42,1100909.11,650810.59,901306.29,270875.65,123622.25,3533.83,102813.51
1987,2891672.33,2329995.84,433433.52,87594.28,40648.69,6135330.33,4704423.43,32805.99,1398100.91,367003.84,1900938.6,3968983.99,180220.12,204924.6,14428.83,34166.32,328771.54,1112486.41,658620.31,920152.44,276539.61,126207.17,3569.16,103841.48
1988,3174567.62,2581595.05,444269.94,88907.95,59794.67,6474984.23,4828682.26,28047.35,1618254.62,404395.72,2073797.26,4087626.1,180520.22,206974.83,15884.24,34220.38,398174.24,1123077.56,665199.94,938998.58,282203.57,128792.08,3604.5,104869.45
1989,3325947.09,2710674.81,453155.59,67307.31,94809.39,7100757.71,5407009.46,28658.81,1665089.44,421214.38,2156748.99,4290007.77,180955.41,210156.89,17258.02,34562.24,539660.77,1139870.62,675183.8,957844.73,287867.53,131377,3658.12,106429.47
1990,3464716.26,2828589.58,462218.99,72613.57,101294.12,8531586.58,6831767.68,29085.34,1670733.56,442274.21,2221451.35,4645604.76,184574.49,214360.46,19364.32,34907.75,785397.02,1196554.34,688686.33,976690.88,293531.49,133961.92,3731.26,108557.67
1991,3590837.44,2955875.91,454823.21,74791.9,105346.41,8094631.17,6224452.07,40843.65,1829335.45,459966.2,2292538.47,4761087.05,189855.95,217683.2,19910.44,35256.92,816813.34,1244151.79,699013.48,987039.13,296641.52,135381.28,3787.25,110186.65
1992,3674792.83,3044552.16,458916.79,76512.11,94811.77,8170469.68,6381259.61,30604.35,1758605.72,477904.06,2363606.26,4933417.51,199200.21,229286.43,21457.39,35961.82,848163.28,1292347.78,719982.46,1015430.73,305174.24,139275.44,4041.02,117569.65
1993,3743665.81,3132843.73,461670.56,78042.4,71109.13,8122084.58,6394602.56,20780.57,1706701.44,501799,2434513.56,5125930.3,205296.63,245077.08,22713.3,36500.91,879581.83,1346312.46,748789.76,1044823.11,314007.73,143306.87,4445.14,129327.27
1994,3839675.45,3226829.55,466287.56,80071.46,66486.88,7917396.42,6229458.63,17213.58,1670724.21,516853.08,2434987.29,5270211.2,205592.73,255672.09,23602.94,36683.53,905503.88,1386533.73,774993.83,1059736.86,318489.86,145352.42,5054.15,147045.81
1995,3977381.94,3336541.36,485872.07,81832.93,73135.57,7985544.28,6375970.58,17082.56,1592491.14,530808.44,2436692.73,5422774.86,208584.08,271824.96,23637.91,37050.22,942010.42,1430716.7,803658.1,1059116.81,318303.51,145267.38,5862.79,170572.55
1996,4133548.21,3462995.96,499962.45,82241.9,88347.9,8450310.2,6832836.74,17535.35,1599938.11,537177.87,2457403.59,5599481.04,213741.06,291524.87,23949.01,37902.68,978712.5,1445024.44,832579.84,1089767.77,327515.25,149471.43,6742.22,196158.52
1997,4305679.63,3611905.26,512461.13,82982.17,98331.07,8561916.92,6933580.95,18504.63,1609831.34,571557.91,2494263.94,5855679.44,220749.79,320193.4,24144.68,39040.02,1019113.26,1536907.47,861730.43,1108613.92,333179.21,152056.35,7753.54,225582.13
1998,4475241.38,3752769.63,526297.84,83977.89,112196.02,8515828.8,7083987.57,19397.26,1412443.97,605850.87,2569092.6,6166853.26,229603.77,363181.39,23814.02,40289.13,1068611.69,1628648,904812.66,1127460.07,338843.17,154641.27,9304.23,270697.9
1999,4703643.68,3949415.21,541034.01,85070.09,128124.37,8031917.62,6552688.51,20205.61,1459023.5,628872.48,2633319.28,6451656.65,238121.84,414810.81,24430.24,41698.94,1106336.87,1690330.88,944633.69,1146306.22,344507.13,157226.19,11165.06,324837.15
2000,4840971.2,4067897.64,553478.21,86346.14,133249.2,8808652.44,7281943.86,21044.68,1505663.91,654027.49,2675452.58,6709176.63,246347.5,455906.8,25175.24,43241.69,1151591.52,1756078.06,985255.71,1165152.37,350171.09,159811.1,12058.26,350823.8
2001,5024542.11,4222477.41,570082.86,88072.9,143908.93,9351860.34,7662979.86,22392.33,1666488.14,732511.6,2742338.22,7416289.75,257692.1,814982.89,107926.37,45187.82,1202819.32,1843817.31,1034522.14,1183998.81,355834.04,162396.48,13264.1,385906.69
